graph_name	mqlib	hss_trial_1	hss_trial_2	hss_trial_3	hss_trial_4	hss_trial_5
g002527.zip	-8260545.85886	-8261013.448865175	-8260974.694705248	-8260993.332275391	-8260745.075320959	-8260856.576931238
g001651.zip	-129983.067803	-129998.10797542694	-129998.46321923306	-129999.78523185024	-129998.38372904464	-129997.92365608067
g001345.zip	-40264297.0396	-40063761.19057274	-40066407.82990408	-40063418.44937801	-40070104.37564564	-40069210.03069401
g002300.zip	-94078624.7149	-94086166.10579087	-94088300.17157629	-94087655.03836673	-94086573.05818473	-94089266.37586407
p7000_2.zip	-18249844.0	-18249799.0	-18249948.0	-18249232.0	-18249948.0	-18249844.0
g000495.zip	-16380790.0	-16384410.0	-16384420.0	-16384360.0	-16384330.0	-16384180.0
g002312.zip	-28673164.5295	-28677151.486594915	-28677437.862890244	-28677489.527213097	-28677269.879265666	-28677273.067106962
g002204.zip	-122911199.542	-122911199.59026766	-122911199.59026766	-122911199.59026766	-122911199.59026766	-122911199.59026766
g002563.zip	-58464376.4166	-58473095.76754978	-58475154.06688027	-58473636.54796777	-58474119.16920894	-58476457.70894292
g000503.zip	-85060062.6343	-85065321.64809725	-85063633.61528137	-85065783.02364385	-85066295.45897236	-85065536.57639235
imgseg_376020.zip	-13765691.7298	-13725058.951221466	-13730846.010993958	-13715189.768169403	-13743640.320056915	-13723551.524936676
g000644.zip	-132425.0	-132592.0	-132561.0	-132602.0	-132592.0	-132555.0
imgseg_216041.zip	-9576570.72096	-9566562.65578878	-9566433.595189452	-9565346.883850455	-9563386.055180907	-9566843.29652059
g000476.zip	-106505.0	-106606.0	-106587.0	-106652.0	-106631.0	-106605.0
g001883.zip	-403013.106301	-403013.0762542515	-403013.06947895524	-403012.9441956303	-403013.0580477191	-403013.02639816643
g002600.zip	-41193.6571701	-41194.394869055184	-41194.209310580576	-41194.30338337155	-41194.96466073808	-41194.44557585982
g000969.zip	-6646553.69228	-6647406.466074423	-6647406.466074423	-6647406.466074423	-6647406.466074423	-6647406.466074423
g000788.zip	-1962914.63644	-1962883.733292818	-1962882.0313587189	-1962880.275804758	-1962872.9949612617	-1962870.2537891865
g002898.zip	-12766478.0	-12766478.0	-12766478.0	-12766478.0	-12766478.0	-12766478.0
g001581.zip	-730395.750111	-730412.5991652012	-730412.6683909297	-730413.0854597539	-730413.2243712097	-730412.7109629065
g000524.zip	-4335188.44911	-4335188.455123901	-4335188.455123901	-4335188.455123901	-4335188.455123901	-4335188.455123901
g001469.zip	-14224209.7713	-14227017.034707453	-14227268.523812551	-14226840.429761112	-14227112.97851985	-14227250.795064688
g001327.zip	-9267491.54935	-9267491.560795784	-9267491.560795784	-9267491.560795784	-9267477.790911674	-9267477.801549911
g002586.zip	-7161694.30643	-7161694.305068016	-7161694.305068016	-7161694.305068016	-7161694.305068016	-7161694.305068016
g000432.zip	-188363.084072	-188361.9581027031	-188363.08441996574	-188363.08420348167	-188360.65554785728	-188360.99425578117
g003215.zip	-822456.0	-821138.0	-820019.0	-818938.0	-819497.0	-820748.0
g000421.zip	-41636.609036	-41614.81351470947	-41622.07865524292	-41607.54835510254	-41614.81350708008	-41636.60897064209
g002440.zip	-2000460.35895	-1997653.5391203687	-1997805.7317145765	-1997967.6760030687	-1997531.182271868	-1998448.153607279
g001269.zip	-45661.0	-45661.0	-45661.0	-45661.0	-45661.0	-45661.0
g000989.zip	-2322.0	-2322.0	-2322.0	-2322.0	-2322.0	-2322.0
g002370.zip	-56427954.3767	-56179045.32467151	-56173790.606167555	-56174109.20810032	-56179895.11321831	-56174736.55292249
g001913.zip	-1177987.79678	-1176992.5414307923	-1176985.8769328229	-1177110.689910786	-1177222.6966139749	-1176993.3714014657
g001393.zip	-358334.0	-358706.0	-358711.0	-358713.0	-358697.0	-358727.0
g002207.zip	-6780815.0	-6781175.0	-6781175.0	-6781175.0	-6781175.0	-6781175.0
g003198.zip	-137351877.645	-137355900.38567352	-137355369.11237335	-137354777.380661	-137356147.55191803	-137356225.6964264
g000802.zip	-2819199.23735	-2819425.63455534	-2819436.3413467407	-2819460.1325945854	-2819488.037724972	-2819446.692229271
g002332.zip	-4586101.95203	-4586538.381528854	-4586641.299726009	-4586622.04593277	-4586612.578901768	-4586649.386822224
g002034.zip	-698766.039825	-698788.0405355096	-698788.0523732305	-698784.7796146274	-698788.0405355096	-698788.0405355096
g002512.zip	-327619.059086	-327633.0723150037	-327645.312769793	-327642.5352437906	-327644.48424491286	-327645.7028582543
g003059.zip	-3782885.0	-3782810.0	-3782720.0	-3782721.0	-3782732.0	-3782754.0
g000377.zip	-446186.0	-440714.0	-440687.0	-440501.0	-440476.0	-440883.0
g002569.zip	-508306272.0	-502511444.0	-502832957.0	-503271105.0	-502966456.0	-503879378.0
g000283.zip	-337182.682538	-337297.55902957916	-337332.472489357	-337299.3795442581	-337310.14517998695	-337296.0837368965
g001337.zip	-4634098.0	-4634142.0	-4634094.0	-4634104.0	-4634200.0	-4634218.0
g001086.zip	-3815.50604765	-3796.3956365287304	-3795.8315517008305	-3797.1034559756517	-3795.9347835183144	-3796.060532554984
